name,base_upload_limit,can_approve_posts,can_upload_free,created_at,id,inviter_id,is_banned,is_super_voter,level,level_string,name,note_update_count,post_update_count,post_upload_count,post_deletion_count,deletion_ratio,deletion_ratio_percentile
Lacrimosa,50,True,True,2018-07-18T17:41:23.794-04:00,570925,1002,False,False,32,Builder,Lacrimosa,32,26369,5358,2.0,0.0003732736095558044,0.9230769230769231
maoko,50,True,True,2018-05-16T18:00:27.744-04:00,562918,1002,False,False,32,Builder,maoko,6,2524,1491,4.0,0.0026827632461435278,0.8422090729783037
Damian0358,50,False,True,2018-03-06T18:40:54.458-05:00,554505,332700,False,False,32,Builder,Damian0358,1145,14538,1404,2.0,0.0014245014245014246,0.8915187376725838
DreamFromTheLayer,50,False,True,2018-01-09T08:26:01.051-05:00,547400,1002,False,False,32,Builder,DreamFromTheLayer,2209,7531,1517,74.0,0.04878048780487805,0.11045364891518739
Ne_Obliviscaris,50,False,True,2017-08-25T10:19:12.754-04:00,527023,11672,False,False,32,Builder,Ne_Obliviscaris,3,2437,1674,7.0,0.004181600955794504,0.7810650887573964
user_525419,50,False,True,2017-08-11T13:48:32.360-04:00,525419,13392,True,False,32,Builder,user_525419,327,129772,13680,8.0,0.0005847953216374269,0.9191321499013807
DepressePotato,50,False,True,2017-06-20T08:46:34.216-04:00,519865,1002,False,False,32,Builder,DepressePotato,0,3546,1136,12.0,0.01056338028169014,0.5207100591715976
Jnglmpera,50,False,True,2017-05-18T02:23:56.300-04:00,516394,360629,False,False,32,Builder,Jnglmpera,610,11322,6560,169.0,0.025762195121951218,0.2564102564102564
Seulbae,50,True,True,2017-05-08T06:10:58.628-04:00,515384,1002,False,False,32,Builder,Seulbae,201,15282,6151,5.0,0.0008128759551292473,0.9151873767258383
Soundtracker,50,False,True,2017-04-17T09:37:16.305-04:00,512896,11672,False,False,32,Builder,Soundtracker,35,3415,1761,5.0,0.0028392958546280523,0.8284023668639053
user_509825,50,False,True,2017-03-23T16:37:18.645-04:00,509825,13392,False,False,32,Builder,user_509825,74,45481,2580,13.0,0.0050387596899224806,0.73767258382643
Nova_Genesis,50,False,True,2017-03-18T03:00:17.670-04:00,509085,360629,False,False,32,Builder,Nova_Genesis,0,15982,6307,38.0,0.006025051530045981,0.6863905325443787
nonamethanks,50,True,True,2017-03-08T16:15:10.533-05:00,508240,360629,False,False,32,Builder,nonamethanks,2750,130352,29228,55.0,0.0018817572191049679,0.8757396449704142
ampzz,50,False,True,2017-03-03T03:53:46.006-05:00,507781,1002,False,False,32,Builder,ampzz,163,28185,11147,384.0,0.03444873060016148,0.1755424063116371
inkuJerr,50,False,True,2017-01-14T10:16:00.489-05:00,503835,85307,False,False,32,Builder,inkuJerr,421,21968,9848,48.0,0.00487408610885459,0.7495069033530573
ceres,50,False,True,2016-10-25T17:31:47.614-04:00,497614,360629,True,False,32,Builder,ceres,385,19619,10062,86.0,0.008547008547008548,0.5877712031558185
archaist,50,False,True,2016-10-09T09:04:23.107-04:00,496410,360629,False,False,32,Builder,archaist,1624,10647,1947,1.0,0.0005136106831022085,0.9211045364891519
wishington,50,False,True,2016-07-28T11:18:51.240-04:00,490354,11672,False,False,32,Builder,wishington,447,7111,1892,95.0,0.05021141649048626,0.10256410256410253
kudus,50,False,True,2016-07-10T19:15:21.719-04:00,488815,11672,False,False,32,Builder,kudus,1007,5796,2742,31.0,0.011305616338439095,0.5069033530571991
Sausageroll,50,False,True,2016-06-21T12:46:06.393-04:00,487282,360629,False,False,32,Builder,Sausageroll,6,1596,813,22.0,0.02706027060270603,0.23865877712031558
Rashurk,50,False,True,2016-06-10T17:40:11.557-04:00,486490,11672,False,False,32,Builder,Rashurk,523,2523,1237,23.0,0.018593371059013743,0.3570019723865878
ADT555,50,False,True,2016-05-26T00:59:37.350-04:00,485320,1002,False,False,32,Builder,ADT555,135,15608,11156,42.0,0.003764790247400502,0.7909270216962525
Bisko,50,False,True,2016-05-05T08:53:33.513-04:00,483749,360629,False,False,32,Builder,Bisko,3198,31955,11260,28.0,0.002486678507992895,0.8500986193293886
krewa,50,False,True,2016-03-26T09:16:21.107-04:00,480583,11672,False,False,32,Builder,krewa,1,5207,867,7.0,0.008073817762399077,0.6074950690335306
Shallie,50,True,True,2016-03-26T01:17:03.564-04:00,480552,360629,False,False,32,Builder,Shallie,456,30040,11920,95.0,0.007969798657718121,0.6134122287968442
Avitus,50,False,True,2016-01-13T14:50:31.821-05:00,474934,14662,False,False,32,Builder,Avitus,0,1425,609,8.0,0.013136288998357963,0.45956607495069035
andalus,50,False,True,2016-01-12T09:20:21.566-05:00,474806,360629,False,False,32,Builder,andalus,1295,8993,5460,191.0,0.03498168498168498,0.17159763313609466
OniTea,50,True,True,2016-01-06T08:19:19.912-05:00,474357,360629,False,False,32,Builder,OniTea,214,10867,3294,8.0,0.0024286581663630845,0.8520710059171598
Mikaeri,50,False,True,2015-11-17T01:51:21.858-05:00,470449,85307,False,False,32,Builder,Mikaeri,4241,151333,24607,29.0,0.001178526435567115,0.903353057199211
Nitrogen09,50,True,True,2015-09-28T12:21:34.843-04:00,467044,13392,False,False,32,Builder,Nitrogen09,1294,60759,7584,24.0,0.0031645569620253164,0.8165680473372781
Danaii,50,False,True,2015-09-17T11:14:56.517-04:00,466377,360629,False,False,32,Builder,Danaii,289,8683,870,4.0,0.004597701149425287,0.7652859960552268
CharleyDodger,50,False,True,2015-08-12T17:13:11.737-04:00,463999,13392,False,False,32,Builder,CharleyDodger,6004,51236,7103,66.0,0.009291848514712094,0.5660749506903353
chilled_sake,50,True,True,2015-08-10T10:12:03.333-04:00,463832,360629,False,False,32,Builder,chilled_sake,49,22318,5620,208.0,0.03701067615658363,0.1597633136094675
iphn,50,True,True,2015-07-06T11:03:58.408-04:00,461427,360629,False,False,32,Builder,iphn,726,291154,6259,17.0,0.002716088832081802,0.8362919132149902
Blue_Trident,50,False,True,2015-06-17T13:56:11.300-04:00,460234,360629,False,False,32,Builder,Blue_Trident,459,35857,1174,7.0,0.00596252129471891,0.6903353057199211
Cristianlush,50,False,True,2015-06-14T10:45:02.481-04:00,460035,360629,False,False,32,Builder,Cristianlush,210,17020,8737,280.0,0.03204761359734463,0.20710059171597628
Elf_song,50,False,True,2015-05-24T04:38:01.180-04:00,458730,1,False,False,32,Builder,Elf_song,48120,16360,6183,20.0,0.0032346757237586934,0.8086785009861933
user_458454,50,False,True,2015-05-19T12:05:51.875-04:00,458454,19599,False,False,32,Builder,user_458454,81,3086,1084,7.0,0.006457564575645757,0.6627218934911243
hurrghhurrgh,50,False,True,2015-05-19T11:36:23.506-04:00,458450,13392,False,False,32,Builder,hurrghhurrgh,8,5423,1535,0.0,0.0,0.9625246548323472
Hoppo,50,False,True,2015-03-19T03:33:18.306-04:00,454478,1,False,False,32,Builder,Hoppo,2158,15367,8014,22.0,0.0027451959071624656,0.8323471400394478
tapnek,50,False,True,2015-03-11T22:47:18.681-04:00,454016,13392,False,False,32,Builder,tapnek,2602,33843,13015,229.0,0.01759508259700346,0.3727810650887574
suzurin,50,False,True,2015-02-11T14:34:04.276-05:00,452294,1,False,False,32,Builder,suzurin,278,46167,1617,9.0,0.0055658627087198514,0.7100591715976332
